"","zone","zmax","x","y","dead","mort_year","tmax","ppt","pptn","tmaxn","aws","elevation","slope","aspect","cover","vpdmax"
"660592",351558,21.97009,323095.8,4091705,1,"2016",17.00902,850.2277,858.5765,14.39514,8.04,2041.548,30.21353,309.2526,0.4522,19.28292
"89895",89895,6,297882.9,4103759,0,"Live",18.54899,792.4807,777.9512,18.47628,23.15,1398.683,19.33769,108.2069,0.5609,21.49939
"642519",333485,35.56995,323136.8,4089522,1,"2016",17.00902,850.2277,800.6154,14.8614,23.15,1934.744,28.03139,298.6035,0.7841,19.28292
"888078",579044,38.1,325391.1,4091673,1,"2016",15.09834,871.5558,874.3379,13.72477,10.65,2062.041,32.86245,164.7614,0.4983,16.89864
"1020383",711349,30.2,326582.1,4094127,0,"Live",15.33717,901.0924,874.3379,11.9686,8.04,2353.781,18.59581,222.5394,0.5962,17.56576
"1777593",1468560,15.2,320112.5,4098821,0,"Live",13.61266,923.6433,938.699,13.01926,10.65,2196.763,7.816841,168.8463,0.4718,14.89409
"711491",402457,10.70996,323060.8,4100785,0,"Live",13.61266,923.6433,921.5131,12.72056,9.01,2335.705,9.097284,101.1007,0.4835,14.89409
"1031223",722189,51.3,326736.8,4096624,1,"2016",15.33717,901.0924,901.6485,12.35914,3.16,2473.066,11.31065,324.5084,0.5773,17.56576
"580566",271532,43.40991,315942.5,4092883,1,"2016",16.93004,819.6968,849.9575,13.17649,6.69,2330.892,12.61673,229.8292,0.6945,18.76024
"1337044",1028011,21.1,316307.4,4097798,0,"Live",14.82655,937.8588,886.5621,13.95798,3.16,2046.755,5.451172,183.1173,0.2145,16.35406
"1489901",1180868,45.7,318722.2,4091380,0,"Live",15.15505,884.043,907.6024,13.53432,6.25,2188.27,14.95983,59.86819,0.6358,15.94104
"1429037",1120004,33.1,317475.3,4097553,1,"2016",14.82655,937.8588,944.0081,13.39371,4.18,2178.876,6.336664,179.6816,0.269,16.35406
"710525",401491,27.51001,323018.1,4100882,0,"Live",13.61266,923.6433,921.5131,12.72056,9.01,2346.405,15.46015,89.03396,0.5786,14.89409
"689477",380443,17.1001,323048.7,4097982,0,"Live",15.68133,933.1343,938.699,13.92397,8.04,2107.879,30.72345,148.1688,0.4918,17.55774
"681550",372516,22.67993,323262.2,4095967,0,"Live",15.68133,933.1343,938.699,15.19604,1.96,1874.956,17.0454,188.4269,0.0905,17.55774
"1167406",858373,28.7,327219.6,4097237,0,"Live",15.33717,901.0924,901.6485,11.51358,8.04,2514.331,17.19731,39.79174,0.4144,17.56576
"495212",186178,10.78003,322020.3,4090215,0,"Live",17.00902,850.2277,858.5765,16.78935,3.56,1541.508,40.80629,272.3452,0.2923,19.28292
"1328130",1019097,22.1,316506.2,4096897,0,"Live",14.82655,937.8588,944.0081,13.74554,6.69,2101.346,4.271967,93.44647,0.4951,16.35406
"813845",504811,29.88,324779.8,4096150,1,"2016",15.33717,901.0924,901.6485,14.8855,1.96,1964.385,17.53014,75.3129,0.4257,17.56576
"150568",150568,21,298174.1,4103031,0,"Live",20.6787,743.3008,777.9512,19.31869,23.15,1355.049,19.34163,214.112,0.4098,25.59901
"1287230",978197,28.4,329237,4091514,0,"Live",13.27461,872.2523,874.7095,11.43716,8.67,2403.676,27.09705,338.5837,0.352,14.26277
"146340",146340,19,298115.4,4103610,0,"Live",18.54899,792.4807,777.9512,18.47628,23.15,1370.661,21.36296,81.55801,0.2674,21.49939
"212667",212667,23,300894.5,4098851,1,"2016",20.6787,743.3008,NA,20.47968,23.15,1144.688,16.77227,333.7541,0.5738,25.59901
"837909",528875,44.3,324374.3,4102801,0,"Live",14.93835,865.7621,865.402,11.96685,NA,2404.366,24.20101,97.16558,0.2984,17.25337
