"","var","beta","sigma","r2","p"
"1","aws",0.0360344826912725,0.0110698315662514,0.489699784533843," == 0.01"
"2","tmax",0.0761731499300481,0.0153098756086419,0.725231629433667," == 0.001"
"3","tmaxn",0.0894715235942029,0.00793252324883572,0.926588009535467," < 0.001"
"4","pptn",-0.00252957170893829,0.00037530721994413,0.787338252796784," < 0.001"
"5","ppt",-0.00379245923820122,0.00105046997662675,0.462239723637468," == 0.003"
"6","aspect",-0.00379245923820122,0.00105046997662675,0.462239723637468," < 0.001"
"7","slope",0.00304594868047017,0.00120244959224148,0.351352548511108," == 0.032"
"8","cover0_50",0.148104096867902,0.0288706448639321,0.835071017540217," == 0.007"
"9","cover50_100",2.37131452959426,0.198481166782108,0.979272898210839," == 0.007"
"10","vpdmax",0.0937682264300487,0.00920195857403376,0.880174631569032," < 0.001"
